Review,
 We had issues with our electronic key everyday It deactivated It wasn t kept near our phones but somehow there was an issue The staircase for our bed was steep and no handrail The tea coffee facilities weren t updated daily And the floor was dusty and had hair on it and that was upon our arrival That situation didn t change Other than those minor issues the hotel was lovely ,0
 Bed was on upper level with a narrow twist staircase No USB port for mobile phone charging not even via thr tv s Some sockets didn t work and had loose covers dangerous Some corridors were poorly lit ,0
 Our room was an overrated disaster room 231 dirty smelly hot and very noisy of the banging doors in the corridor and from the other rooms We moved the couch a bid and the dirt and dust of months no cleaning appeared the smell of the gutter was very disturbing the lighting was too weak and a black bathroom is the worst design disaster one can imagine We found the whole hotel dirty dusty and dated To spend more then 243 Euros for a dirty attic room is daylight robbery ,0
 Transportation was a bit of a pain but on route to your destination there is amazing views at every corner ,0
 The bathroom in our room was a black glass box It theory it s cool in practice it leaves a lot to be desired Little privacy not enough light at the mirror and the shower leaked into the hall It did however allow for a loft space with a desk chairs and a second tv ,0
 Careful they are still renovating the building and start at 8am so it suits for business people but if you want a relaxing stay the noise can annoy you ,0
 We had 2 different rooms here and both were duplexes with identical floorplans There was very little space and the staircase was precarious with no handrail Was kind of a pain to have to go downstairs every time we needed something out of our luggage or needed to use the bathroom ,0
 There is an ongoing construction enlarging the hotel The hotel s restaurant is nice but overpriced The bathroom is not very practical ,0
 Little bit on the pricey side,0
 Extensive restorations works going on We had scaffolding outside our window blocking the view Temporary reception area The building is an old hospital you can still see the hospital aspects on the inside When the work is completed i m sure it will be fabulous No fridge in the room well there was one but it was very ineffective ,0
 Our bathroom had an urine order Shower was very slippery No shower chair handles or bars Bed was uncomfortable and mattress pad was too big and you felt like you were falling off Very expensive and breakfast was not included Construction and remodeling were going on and we were inconvenienced by it There was a park and that was nice Not close to town or museums ,0
 Please see above,0
 The rooms were cold Although nice the room decor was basic and unwelcoming It could use some design help an area rug or two ,0
 Construction on site but not mentioned on booking com The breakfast can be improved it is quite expensive for its quality ,0
 not cleaned well lady pushing to pay during my breakfast poor signs for temporary reception during renovation,0
 The glass wall separating the bathroom and the toilet from the room is a weird solution for double It is necessary to darken the glasses much more ,0
 the only thing that would of been better is if i had booked more nights But apart from that there is not really much I dislike about the Hotel I suppose if there is one thing the room I had did not have a view only other rooms but I dont tend to go on holiday to sit in my hotel room staring out the window so not really a great deal I can find that I did not like plus stayed for 2 nights and this place was perfect for that,0
 Staff a few were friendly and willing enough to help but we ran into one gentleman who seemed to be in training and was totally ineffective Every question we asked had to be referred to someone else he wouldn t make eye contact he wouldn t even just say I don t know the answer let me find out for you There didn t seem to be a manager around Unfortunately there is still a lot of construction going on so it is difficult to see what the building will be like when finished The temporary reception area is in a very small dark area under the central staircase too bad Breakfast was overpriced for a good but ordinary buffet ,0
 Several parts of the building outside are under construction at the moment and getting to the reception required a little search around Also the standard rooms are located towards a rather frequented street which gets very noisy when opening the windows This is rather necessary though due to the sleeping area on the first floor of the room being somewhat stuffy ,0
 Hotel undergoing the building of a new wing not that this caused us any issues except signs of building work meant reception was a temporary pop up affair Rooms that we had were tired and in need of some love First room had a broken window mechanism and signs of damp with chunks of plaster missing around the window area Shower did not drain properly and overflowed after only a couple of minutes We requested another room which we duly transferred too which was better although bathroom lights would work for no longer than 5 minutes before they went out guess a problem with a transformer overloading Fault reported but not rectified during our stay The building is magnificent the rooms we had just needed some care and attention and then the hotel would be first rate ,0
 Hotel is going through a major construction renovation was not mentioned during the booking process Staff is poorly trained check in did not work breakfast staff was more interested in me signing the breakfast check although I prepaid the breakfast then serving my cappuccino Room was huge 3 4 meter high ceilings and freezing cold Heating worked in the bathroom very hot but not in the room Was not able to take a shower in the morning water was boiling hot could not regulate the temperature Forget working in the room no working area feels more like a sanatorium And for all that I paid 250 Never again ,0
 Water pressure in my shower was no existent Feel bad even saying that ,0
 The service was awful They refused to take ownership of a mistake on their part even after being asked about it in the morning ,0
 Bathroom lighting could have been brighter The airconditioning of our room 303 could not be turned down lower than 23 degrees celcius The refrigerator in our room was not cooling there was no thermostat The toiletries were not replenished shampoo shower gel dispenser was empty and was not replenished on the second day either ,0
 The hotel is under construction which was never mentioned when I booked it or at any point until we arrived there We then wandered around empty half finished corridors looking for the temporary lobby The room was nice but the bathroom is a glass box inside the bedroom it s not in anyway private Showering or using the toilet feels aptly like you are performing in some kinky Amsterdam window there was also a nail sticking up at the entrance of the glass bathroom which I first discovered with my barefoot We woke up to the sound of scaffolding being hammered together and someone drilling concrete Hardly the relaxing break from noisey London that I believed I had booked The pictures are of a hotel looking over a park yet the room looked over an empty courtyard scattered with random bits of scaffolding and debris The first floor corridor smelled like they were having some serious blocked plumbing issue or perhaps another guest was very unwell Their 17 breakfast is really lazily thrown together with cheap products and entirely tasteless honestly not worth it get breakfast somewhere else instead We spent 100 in 3 days on uber because this hotel is over a mile from anything and the novelty of walking around pretty canals ends 20 minutes before this hotel even comes into view They will also take 50 deposit from you in advance for every day you are planning to stay This meant on arrival I suddenly had to pay a further 150 which caused a non sterling transaction charge on my card only to have the full amount refunded when we left minus the bank charges for this pointless but menditory transaction We made the best of it but I really wish they had been open about the current state of the place and I definitely would have stayed somewhere else ,0
 The hotel is a little out of the main town but accessible by tram The hotel restaurant was a little disappointing the food was great but we waited too long for it due to waiting staff prioritising large groups ,0
 Service horrible Pillows super stiff and big could break your neck Room service was done they removed the towels and did not leave us with anything Door was not closing and found out on second day that it can be easily opened Service in general was poor I would not stay here,0
 The bar was shut when I got back at midnight which seemed quite early for a hotel bar on a Saturday night in a city like Amsterdam ,0
 When arriving I was told I had to pay 19 city tax That wasn t shown on the policies I pre paid extra for there to be petals on the bed there were no petals The sheets weren t changed the cleaner just made the bed didn t even sweep the floor When checking out the receptionist said she would call a taxi for us We waited 30 minutes after 15 we asked how long it would be she said I will check she said that twice Made us late for the airport and nearly missed our flight Wasn t happy at all ,0
 I loved everything ,0
 when you take a shower the whole floor is in the water problem with opening the garage door curtained window some construction,0
 there was construction work going on in the hotel which i was not expecting and would like to have known about in advance the bar staff we not keen to serve use when we arrived late from the airport at 11 30pm despite at check in being told the bar was open until 12 mid night ,0
 Some building work was being carried out during our stay which was noisy but obviously unavoidable stairs in our room were very narrow and steep which meant getting up in the middle of the night to go to the toilet was a real task ,0
 The hotel is under renovation so even though it was in a park our view was of scaffolding Also the bed would benefit from more pillows blankets Personal preference ,0
 The place is completely mismanaged The property is amazing and whoever is running the place is doing it a disservice Don t stay here if you are expecting a 4 star experience it s a 4 star location with 1 star service The restaurant service is the worst I have ever experienced The staff need guidance on how to serve efficiently The hotel has many strange design choices too Had a double bedroom with a friend yet you can easily see into the bathroom shower and toilet Shower overflows all over bathroom quickly You can see into the urinals from the reception area Loud security doors right outside our room woke us up regularly Put the security measures on the elevators ya goofs This is the only negative review I have ever written but the place has potential and needs new management ,0
 The bathroom if someone took shower because it will flow over to the elevated floor ,0
 Soundproofing was poor could hear everything from outside our room and woke one morning thinking someone had come into our room as sound was so clear Service and food in the restaurant was awful at dinner so we didn t eat there again ,0
 Very bad attitude of personnel at Breakfast Only allowed one coffee from the Coffee machine filter coffee was free Rude behavior of the manager Room was noisy because of dripping water sound heater system in room ,0
 The bath tub wasn t completely clean that would be my only gripe ,0
 Not being told a hedkandi night was across from our room leaving us with no sleep Room could have been allocated to someone attending the night instead of us Just bad organisation on room allocation ,0
 Asked for more coffee and sugars only got given two satchets of each Room cleaned floor not hovered as the rug was very messy Wifi worked for half a morning then never connected again for the whole trip ,0
 Room was not cleaned correctly Wine Champagne glasses left dirty in the room the floors felt dirty and the shower drain was clogged From the day we arrived ,0
 The bathroom was amazing Though we were two friends sharing and it had a glass screen so it was a bit uncomfortable at times They should think about a screen or opaque glass ,0
 Our room didn t have a sofa in but these two uncomfortable chairs and the stairs was too steep for the room Didn t feel safe going up and down the stairs but these are minor issues I would recommend the hotel to anyone ,0
 The breakfast was rather average from quality and appearance and not that well organized The young gentlemen managing this were more interested in watching the young female guests This was nice to see but at the same time spoons butter coffee etc were out I would expect a better experience for that price ,0
 Breakfast I missed cutted fresh fruits for Muesli couldn t find the Cheese and for Capuccino you had to pay extra ,0
 The sink in the bathroom was very dirty when I got the room Unacceptable The room was freezing cold they could turn on the heating before the guests arrive ,0
 upgraded on arrival very good but unfortunately lovely room had a smell of cigarettes mixed with perfume so changed room next room in attic annexe very cold offered a heater but asked to change again back to regular sized room perfectly adequate as on my own and comfortable but bothered by traffic noise from main road outside ,0
 If you are staying with someone who you aren t comfortable sharing every little detail with we wouldn t recommend this hotel The glass box in the corner of the room that doubles as the en suite has practically see through glass even though it s black so you can t be concerned about protecting your modesty Nearly all the guests we came across we re British but there was a complete lack of English Breakfast tea in the restaurant where you had breakfast What made it stranger was we told them it was available in the tea coffee facilities in the room but only with powdered milk but they still couldn t produce any for breakfast The hotel was also undergoing serious renovation works at the time Which didn t really affect us other than when they decided to start taking the ceiling of the restaurant down while they were serving breakfast ,0
 The hotel is undergoing massive construction with workers all around and this was not indicated at the time of booking We had a rodent in the room one night due to the disturbance of construction ,0
 Rooms were a little louder than we would have liked A lot of noise from people walking by and shutting doors ,0
 The hotel is being renovated Which means that you will literally be drilled out of your bed starting at 7am We paid EUR350 for a large room but really it was not worth the money ,0
 I can t think of anything that we didn t enjoy ,0
 The cleaniness of the rooms can be better Check refrigerator regulary and the rooms can use a good cleaning scrub Also the floor was really sandy and there was an odor in the hallway and room Some extra pillows to watch tv would be nice too Restaurant some nice varpet at the fire place would spice it up And cookies with your tea coffee hot choco it s a star hotel ,0
 Wasn t told about renovations going on staff in the restaurant very slow ask to order got told table service then when they did come over were told the restaurant had closed The man covering the night shift wasn t very helpful ,0
 The hotel is currently being renovated Being an old building you hear a lot of noise of people walking by your room or in the rooms above Mini Bar empty No remote for the TV Heating direct above the bed and quite noisy ,0
 Initial room was small but we were quickly swapped into a bettet room without fuss,0
 That I wasn t told about the refurbishment so when we arrived i had told my girlfriend after a long tiring day it was a beautiful hotel which when we got there was covered in building works We had to walk through a temporary wood tunnel had no milk in our room for refreshments When walking around there was nobody very empty feel ,0
 Maintenance work on facade of hotel no advance warning and some rather inadequate drinks token to make up for it Leaking air con above bed was noisy and was dripping Stained carpet Not very safe feeling a steep staircase to the sleeping area with no barrier from 2 3m high Not much useful information No minibar Understaffed reception long wait ,0
 No ground floor room as requested 2 months ago first room totally freezing etc restaurant under par Much better last time we stayed Prices gone up ,0
 We booked 3 twins and were given 2 and a double which they couldn t change Not happy Plus bathroom had a horrible smell coming from the drain ,0
 Even allowing for the hotel being under major renovation works the quality of service leaves a lot to be desired Noise of running water coming from the heating system disturbed our sleep considerably No remediation possible Toiletries in bathroom had been used by previous guests Some were empty some partially used Checkout at 12 30 1hour after official checkout time was declined as priority is given to a tour group arriving earlier than normal checkin time Having paid over 300 for 1 night stay this is somewhat disappointing Service at breakfast was very poor Shabby state of hotel with the exception of the rooms is perhaps explained by the renovation works and work still to be done ,0
 The room was tall narrow and small with an integral bathroon Having a shower steamed up the room and soaked the floor as the glass shower panels did not have any doors to stop water going everywhere ,0
 In a terrible state with builders everywhere We had to wait to get into our room as the conference event builders were blocking the door Our room that we were told was new was in a poor state of repair ,0
 There were Construction Works and such information was not passed to us when we booked There was dust everywhere and the shower was blocked the bathroom flooded everytime we took a shower Too dark common reas ,0
 The work being done externally right now is off putting on arrival Will look great once finished but we did get free drinks to compensate ,0
 Our room was a little compact probably due to it being a loft room at the end of the building However the design tried to maximise its quirky layout ,0
 Got charged 50 for a birthday package when it was advertised for 30 on the website This was apparently due to city taxes which we were unaware of The shower was blocked and would flood the room after one use We were unable to get rid of the water so couldn t use the room after we d had a shower Couldn t check us into our room at 3pm had to wait extra 30 minutes Standard Breakfast was very expensive at 17 I highly suggest not to buy Cigarette machine was broken and staff still allowed us to try and use Overall a disappointing stay for a birthday weekend ,0
 split level bedrooms although quirky are impractical 1 TV remote for both tv s but on differernt floors A C is located downstairs so very impractical to have to go downstairs to adjust The walls are also very thin not good sound proofing ,0
 Building work starting at 7am waking us up no mention of building work on booking com and on hotels web page it does say renovations but not that there would be noise disturbance Also air conditioning very very loud,0
 Hotel is having some construction work done this I can live with the tables and general cleanliness of the restaurant was not 4 star all the surfaces were sticky and full of old food the room had a very narrow and steep staircase to get to the bed really difficult to come down I thought,0
 There was a girl working in the restaurant and we asked her a few things about the dessert but she didn t know alot The staff that evening didn t walk by our table once and when they did they didn t take our plates The staff the next day though was more experienced and very outgoing So our dinner of the night before was immediately forgotten and we had a great night at your restaurant ,0
 it s a shame about all the construction going on because it looked like such a beautiful place but we couldn t see a lot ,0
 Building work is being done but it doesn t case any hassle ,0
 Construction during the day though not intrusive,0
 The front desk staff particularly the young men tended to be a bit spaced out and were not very helpful at times however the female attendants on the desk were quite efficient and knowledgeable Breakfast was a bit pricey especially for two people combined ,0
 No Limited A C in common areas Dangerous metal ornaments on all banisters Musty smell throughout common areas Deluxe rooms very small impractical design Impractical shower design no place for soap Poor quality bed mattress Room refrigerator barely worked Food in restaurant overprices only fair quality Overall dark rundown dreary appearance,0
 There was a loud noise outside my room on the first night like a generator Perhaps it had to do with the renewal works in place ,0
 The hotel is under reconstruction although it didn t affect us Overall it s a lovely hotel very spacious ,0
 there is a renovation ongoing in front of the hotel which will hopefully be completed soon as it kills the view,0
 Staff promised things they didn t deliver Room was very small bathroom cramped location generally distant ,0
 We would have liked to know in advance that the hotel is being renovated We had a room right in front of the building site and were waken up at 6 30 because of the noise Booking com should warn travellers for this so they can ask for a room on the quiet side of the hotel ,0
 I wouldnt be able to recommend my grandparents as there are stairs in our room i also dont remember reading that there are stairs in the room although its fine for us as we are only 20 ,0
 The outside of the hotel is under construction It will look beautiful when it s done ,0
 the room next to us were quite loud at night time which proved it a bit difficult to sleep on times The bathroom was really damp due to the wet room and water went by the toilet so we had to wear shoes when using the bathroom after showering The staff member who checked us in charged us a 150 security fee and we were told that this would not be deducted from our bank only held but it was which resulted into the bank blocking my card due to an unauthorised foreign payment Check this when checking in and make sure the bank is aware ,0
 The hotel gardens and patios were under major renovation The sidewalk entrance was a mess There was no mention of this at all on the booking com website We were given a voucher for one drink cocktails excluded as compensation Not good enough ,0
 Major construction work underway next door as part of hotel expansion Room on 2 levels with very steep staircase which made going to the toilet in the night a very dangerous experience After complaining they did agree to move us to room on one level Food in restaurant leaves a lot to be desired for anyone wishing to have food anything except medium rare Despite friendly staff will not be returning cannot recommend ,0
 The first room had steep steps to a loft bed Not practical and dangerous for someone 68 especially if he has to go to the bathroom in the night Second night had a room on one level ,0
 The bathroom has cristal walls and it is not comfortable at all The room size was also pretty small ,0
 Our suite on the 3 floor was beautiful but our mattress probably old was slumping in the middle The staff could not provide a board to put under to make it better and at the time there was no other suite available though smaller rooms were offered For the price you would have expected at least a comfortable bed,0
 The shower was useless and when it worked it soaked the entire bathroom meaning we had to use all our towels to dry the floor was a disaster The room wasn t cleaned properly in a long time just cleaning round the edges The bed room was up a slight set of stairs which left it very warm because we were along way form the window which left the room stuffy and over heated having to go up and down stairs that were dangerous to the toilet or to get a drink was a nightmare The stairs are dangerous and narrow wouldn t be suitable for older people or kids You definitely get what you pay for It was half clean and not very central,0
 Overpriced breakfast Bed too soft Bath had no shelf to leave bottles etc on Building works impact on overall good impression ,0
 We were upgraded which was lovely but the heating didn t work and the room was cleaned once in 3 days We had to ask for more towels We ordered two burgers which were disgusting and the meat smelled bad after 3 mouthfuls my friend was sick ,0
 The bathrooms only had smoked glass walls which did not provide as much privacy as we are used to The lighting in the halls was too dim ,0
 Two storey room with narrow winding stairs Wet room d cor and functionality Lack of storage space,0
 There was a staircase in our room between the bed and the bathroom This means the bathroom is very spacious and lovely but can be a bit of a pain in the middle of the night ,0
 It would have been nice if the one responsible for the cleaning of the room had swept up the crumbs from the floor It was noisy from the main street It was not heated floor in the bathroom and as it rained pretty much during our stay it was difficult with wet shoes There was construction site all around the hotel and the choice would have fell on another hotel if we had known this I am sure it will be very nice when it is finished ,0
 First impressions of the dark reception made us wary to begin with Also we were given a duplex suite to start with Dutch stairs are very steep and we asked to change rooms which staff were most accommodating about The hotel is being renovated externally but this didn t affect our stay at all ,0
 the club sandwiches cold bacon with congealed fat and processed chicken Very poor ,0
 The only complaint we had was the iron in the room was not a steam iron and it was travel size which did not work particularly well ,0
 There was a little construction at the time but we were compensated with a free drink and room well away from the work ,0
 Building working next to entrance wooden platform to door looked unwelcoming Gothic look of reception area Checking out at 11 30am Wooden beam at one side of bed bloking your way See through glass to shower ,0
 We didn t like our first room the stairs in the duplex were very steep and narrow ,0
 The fact I had to leave,0
 The d cor but hotel is currently being extended I expect the d cor will be updated when this is finished ,0
 The interiors are looking quite tired and the deluxe room on two levels was not to our liking This hotel was listed as four star though we would not consider this an accurate rating ,0
 Stairs in our room were too narrow and steep No where did it say hotel was undergoing extensive building work and room looked out onto main busy road ,0
 We booked a 3 night stay in a suite On arrival the room was tidy but not clean paint falling of the walls in a couple of places During the first night we were woken up by an intruder to the room at 0630 I went to the reception to investigate and explain what had happened It turned out to be the night cleaner who had no business coming in our room He came to apologise with a feeble excuse I tripped and fell into the door We didn t buy it and asked for a full refund credit where credit is due the manager gave it to us I asked her to remove my credit card from the room security deposit to which she assured me it was We went to a far better hotel and thought the matter was done with No it wasn t I came home to find my credit card had been charged 420 from them I phoned them up to complain and the money was returned However I have lost about 30 in bank charges due to their incompetence Terrible experience in what is essentially a hostel ,0
 The noise of the construction works that began at 7am sharp in the mornings The see through toilet bathroom the shabby sinks and sandpaper like tissue paper ,0
 The hotel is currently under going renovations and while this wasnt a major problem work did start early on Mon morning ,0
 More sofas needed in the bar better breakfast options water pressure in the shower was rubbish really noisy on the road no difference between open or closed Windows soft closing doors are needed room was way too hot and unable to turn the heat down No mention of the building work going on ,0
 When we first checked in they gave us a tiny twin room which is not what we had asked for Once we came back down and asked to be switched rooms we got a far nicer room probably twice the size with a kingsize bed so not sure why we weren t given to us straight away as we are clearly a couple Also for the price it would have been nice to have been provided with breakfast or at least some toiletries other than soap we had forgotten our toothpaste ,0
 Room 240 should be discontinued It is really too small and only upsets your Customers Breakfast okay but choices a little limited compared to others You could add seeds more fruit etc at very little extra cost ,0
 Could hear music being played by the people in the next door room late at night ,0
 The cleanness was quite poor A lot of dust under the bed under the furniture on top of the bed side lamps the remote control and even the plastic glasses in the bathroom were dirty Also something went wrong with the pipes of the shower a horrible smell came out at night ,0
 Being given a ridiculously small room initially and having to go back to reception and ask for a bigger one was rectified politely Building work being undertaken all round the hotel the ticket for one free drink per guest issued as compensation only covered a small drink I d rather not have the ticket for the drink than go through having that explained in the bar later that evening If you are going to compensate do it properly ,0
 The first night we got there we where put in a room where there was a horrible smell coming from the bathroom I raised this with the staff and was given another room However we where there 3 days and the housekeeping is shocking They do not clean rooms properly but most importantly no clean bed sheets They just come make ur bed that s all Same cups same rubbish it s disgusting Please note if you are not a couple or prefer privacy DO NOT book this hotel their rooms are designed in such a way they are not practical Glass doors n the toilet n shower are clearly visible from the room which was really annoying we had a room where I could see the toilet from the bed Other than that it was ok not worth the money we paid ,0
 I hate when the beds are two separate beds pushed together That may just be a European thing or maybe I got the reservation wrong either way I would still go back to this hotel,0
 the hotel was in a bad condition Not really clean and everything was worn out Breakfast was barely OK and room service dinner was bad low quality and cold when I got it Hotel Arena doesnt deliver what its four stars promise ,0
 Rooms could have been a little cleaner and better maintained ,0
 The hotel looked abit tired lots of scratches and market on the walls the floors in the room looked a little dirty and our room smelt very bad of dirty drains so bad we actually moved rooms,0
 The room we were given originally wasn t very clean there was a problem with the floor which was unsafe they said they didn t have time to get this fixed before my stay which I thought was poor No bath in room even though I requested one on booking,0
 Radiator in bedroom needed bleeding but really not a problem ,0
 Location is a little far from centre the hotel is tired it needs a bit of money spending on it polish it up and make feel new again as it doesn t feel new it feels tired ,0
 Room could have done with a microwave our room had a small leak in the walls from where the rain would come through ,0
 The hotel was incorrectly informed about my room type booking Building work within the grounds worth mentioning but is not is noisy or obtrusive ,0
 The shower was slightly faulty but we told the staff and they will be giving us some money back The room could ve been slightly cleaner in places and the refurbishments going on meant that the hotel was surrounded by construction works But very good value for money ,0
One Of The Receptionist she did a racist comment regarding My accent and my country The housekeeping Didnt like was a disaster Enter in The room Without knock The door a tall girl ,0
 Breakfast was crazy expensive Location required about a 10 minute walk to the nearest subway Construction is underway for a massive expansion project so there was some noise during the day ,0
 The location isn t great bit far out from the centre and area surrounding hotel looks rough The hotel looked out of place there When upgrading to a suite with bathtub extra 25 one of the pillows was filthy A call to reception and a new pillow arrived within the hour But still not what you would expect Room service is very expensive and not good quality or as described on the menu ,0
 Hotel under sonstruction which we weren t aware of when we arrived there was no rooms for us they asked upon arrival if all 4 of us would share a room which wasn t something we were prepared to do we booked 2 separate rooms for a reason we booked 2 double deluxe rooms but ended up being put in 2 twin rooms which over looking the building site over all not worth the 500 pound that was spent ,0
 the change over of staff at the check in too many different faces over 3 days must of been greeted and welcomed by 8 different members of staff just at the reception desk that the rooms were not depicted on the site as they were when we arrived the room was stunning but would of liked to have seen that when booking,0
 The bathroom door was hanging off the light fitting fell off from above the bed there were marks on the wall and ceiling where flys had been squashed against it but not washed off afterwards ,0
 We didn t have a bad experience ,0
 Only complaint would be walls are a little thin and could hear next door but not a major issue,0
 Breakfast not included in the price and whilst it was good we feel it was on the expensive side Split level room that we had wasn t in our view very practical although others may like it ,0
 They charged all our bank cards at the beginning of our stay and the money is then returned if you pay by a different means Unfortunately they charged 2 of us twice and we are still waiting for the money to be returned a week later Just spoilt it for us as we have been chasing our money back,0
 When I arrived we got given a little card for a free drink for each of us due to it being under construction disappointed in the fact that before I booked it they never mentioned anything about having work done All the lovely garden had been tourn up Then the next morning I got rudely awakened at 6 45 7 00 by work men banging this went on for a good hour or so That s probably why I wouldn t stay at hotel arena again I was disgusted by that and the fact they don t do full English breakfasts ,0
 Finding no car park when I had chosen a hotel with a car park was very annoying There was no real place to drop off our bags so we walked from the hospital car park some way The staff were a bit abrupt not really listening I asked for another pillow in the morning and when none arrived by evening I called reception They said one coming very soon I had to ring again and was told his colleague had been told Some time later I had said I wanted to go to bed the pillow arrived with the explanation he was busy and had forgotten I took the opportunity to ask if we could cool the room down as we were so warm the night before The answer was no but we could have a fan I said no because I did not want to risk waiting ,0
 The shower has no curtain whatsoever so the water just spills over the whole bathroom ,0
 The location unfortunately were a bit far from the center 20 min by tramp ,0
 The fact that building work meant the nightclub and half hotel were closed Woken by builders two mornings at 7am complained to reception who said it was saturday the next day so shouldnt get woken up no other compensation offered apart from a drink token on arrival in the form of two halves of heineken not good enough in our opinion ,0
 Breakfast was expensive and hotel could have benefited with a Gym Swimming pool,0
 The hotel is being renovated and an extensive development is unfolding just outside During working hours the noise can be very disturbing The facilities look and sound rickety The A C is extremely loud and not very effective overall the room was too cold What s worse turning it off makes it possible to hear water flowing dropping through pipes in the walls Chinese water torture anyone The bathroom walls are transparent And I don t mean you can maybe make something out if you squint I mean Oh my word I didn t want to see that There is maybe one spot in the room where one does not have a complete view of whatever is happening inside the bathroom The staff didn t change the towels they simply re folded them 3 days in a row with no new towels The hotel is quite far from the center and there s little to do around it If you think you can walk think again and take the tram instead Or another hotel ,0
 The bathrooms are more like a cubical with transparent glass Not ideal if you re a fan of your own privacy Considerable renovation works were ongoing during our stay for the inconvenience we were offered a free drink at the bar I thought this was a nice gesture until I was repeatedly told I can have that drink or that one only a tea coffee or 25cl beer You might have well not bothered Hotel Arena It was more like an insult ,0
 In our own experience First night we couldn t sleep due to an extreme hot problem caused by the AC The next day we were moved to a better room ok but I was expecting to be refund for the night without proper sleep and we didn t AC was very noisy also in the new room And last At reception you will be told that reserving a taxi to the airport will cost 44Euro After doing so the taxi driver eventually charged us 55 Euro The driver simply said not responsible for promises from the hotel reception Be aware of that if you wanna use taxi from Arena,0
 Arena hotel is located in a historical building and definitely needs to be renovated On the territory of the hotel just at the main entrance there are construction works Standard rooms have stairs beds are on the upper level The space of the lower level is very small 50 of it is bathroom No cafes and supermarkets in the nearby No minibar in room only at reception Arena is hardly a 4 star hotel in reality it can be regarded as a 3 hotel only ,0
 Reception staff seemed a bit strange not that helpful ,0
 Cost of taxi to the airport said it would cost 55 euros driver charged us 78 euros But only payed 45 euros from the airport to the hotel,0
